PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.19,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1783775935,String,1779333593,String,94760,Int32,14702,Int32,52742,Int32,5,Int64
10.2.0.19,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1838824777,String,1834909058,String,118104,Int32,46368,Int32,74071,Int32,5,Int64
10.2.0.19,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1843235089,String,1839148268,String,75574,Int32,13351,Int32,43137,Int32,5,Int64
10.2.0.19,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1769680245,String,1765719528,String,89563,Int32,5168,Int32,39146,Int32,5,Int64
10.2.0.19,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1845492148,String,1840902650,String,82336,Int32,7732,Int32,29097,Int32,5,Int64
10.2.0.19,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1924178826,String,1919739879,String,101719,Int32,22256,Int32,67346,Int32,5,Int64
10.2.0.19,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,2022185526,String,2017431473,String,90197,Int32,42189,Int32,68694,Int32,5,Int64
10.2.0.19,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,1986259334,String,1982022442,String,81184,Int32,18432,Int32,63998,Int32,5,Int64
10.2.0.19,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.31,String,2062665883,String,2057589141,String,73712,Int32,4854,Int32,55013,Int32,5,Int64
10.2.0.20,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,4818297281,String,4811349054,String,432659,Int32,6922,Int32,70900,Int32,5,Int64
10.2.0.20,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1736757383,String,1732746383,String,608125,Int32,3647,Int32,98732,Int32,5,Int64
10.2.0.20,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1780284272,String,1775862260,String,176629,Int32,66161,Int32,114333,Int32,5,Int64
10.2.0.20,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1678354811,String,1673759734,String,95121,Int32,23679,Int32,63758,Int32,5,Int64
10.2.0.20,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1776565286,String,1772415176,String,119849,Int32,34542,Int32,59703,Int32,5,Int64
10.2.0.20,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1876472940,String,1872393336,String,72028,Int32,31436,Int32,53092,Int32,5,Int64
10.2.0.20,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1813128646,String,1808613203,String,83329,Int32,28898,Int32,56546,Int32,5,Int64
10.2.0.20,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,2194057461,String,2189336656,String,109076,Int32,15638,Int32,55360,Int32,5,Int64
10.2.0.20,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1985854681,String,1981149879,String,63063,Int32,2646,Int32,36127,Int32,5,Int64
10.2.0.20,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,2351599143,String,2346588193,String,102234,Int32,23780,Int32,56109,Int32,5,Int64
10.2.0.20,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,2042661300,String,2038272479,String,135631,Int32,15780,Int32,67843,Int32,5,Int64
10.2.0.20,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.29,String,1825047665,String,1820789253,String,114632,Int32,44201,Int32,76416,Int32,5,Int64
10.2.0.21,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1694506199,String,1690268769,String,1507261,Int32,7624,Int32,139625,Int32,5,Int64
10.2.0.21,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1766256923,String,1760847470,String,109344,Int32,24022,Int32,52140,Int32,5,Int64
10.2.0.21,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1933125041,String,1928004110,String,109331,Int32,4121,Int32,62473,Int32,5,Int64
10.2.0.21,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1947116900,String,1941383790,String,101463,Int32,7241,Int32,53971,Int32,5,Int64
10.2.0.21,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1900508427,String,1894738757,String,105043,Int32,28681,Int32,59272,Int32,5,Int64
10.2.0.21,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1778280057,String,1773329009,String,91979,Int32,4511,Int32,60861,Int32,5,Int64
10.2.0.21,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1746837330,String,1742295981,String,327927,Int32,15357,Int32,59918,Int32,5,Int64
10.2.0.21,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1862426697,String,1857779195,String,61195,Int32,18866,Int32,45381,Int32,5,Int64
10.2.0.21,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,1794810929,String,1790357802,String,103225,Int32,14960,Int32,63794,Int32,5,Int64
10.2.0.21,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,2141485815,String,2136193537,String,67035,Int32,29492,Int32,44801,Int32,5,Int64
10.2.0.21,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.14,String,2158628284,String,2154274043,String,89194,Int32,13054,Int32,36087,Int32,5,Int64
10.2.0.22,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,4928904691,String,4922397281,String,30360,Int32,4974,Int32,10398,Int32,5,Int64
10.2.0.22,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1814483701,String,1810439907,String,117018,Int32,28012,Int32,67422,Int32,5,Int64
10.2.0.22,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1935866787,String,1931017426,String,145105,Int32,28252,Int32,79897,Int32,5,Int64
10.2.0.22,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1699652071,String,1694734157,String,98092,Int32,29179,Int32,56035,Int32,5,Int64
10.2.0.22,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1816375672,String,1811638746,String,118809,Int32,6288,Int32,71339,Int32,5,Int64
10.2.0.22,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1762383876,String,1757813046,String,315283,Int32,19139,Int32,74269,Int32,5,Int64
10.2.0.22,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1945563210,String,1941083663,String,279928,Int32,11980,Int32,92275,Int32,5,Int64
10.2.0.22,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1973594417,String,1968976736,String,107303,Int32,25160,Int32,62932,Int32,5,Int64
10.2.0.22,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1724561384,String,1720501079,String,358021,Int32,34065,Int32,95322,Int32,5,Int64
10.2.0.22,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1774189320,String,1769399580,String,133118,Int32,3448,Int32,89942,Int32,5,Int64
10.2.0.22,01 27 2022 16 45 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1921047168,String,1916545456,String,61034,Int32,18014,Int32,46025,Int32,5,Int64
10.2.0.22,01 27 2022 16 50 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.37,String,1566407639,String,1562440213,String,96533,Int32,40524,Int32,71265,Int32,5,Int64
10.2.0.23,01 27 2022 15 55 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,5609988739,String,5603962270,String,76580,Int32,15720,Int32,39136,Int32,5,Int64
10.2.0.23,01 27 2022 16 00 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1875572253,String,1871204939,String,157316,Int32,13172,Int32,109220,Int32,5,Int64
10.2.0.23,01 27 2022 16 05 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,2120741117,String,2116258247,String,138169,Int32,51761,Int32,97720,Int32,5,Int64
10.2.0.23,01 27 2022 16 10 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1849265404,String,1844563925,String,84414,Int32,26284,Int32,51508,Int32,5,Int64
10.2.0.23,01 27 2022 16 15 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1932671758,String,1927628071,String,128138,Int32,22298,Int32,54343,Int32,5,Int64
10.2.0.23,01 27 2022 16 20 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,2079403192,String,2073917288,String,147914,Int32,66284,Int32,113247,Int32,5,Int64
10.2.0.23,01 27 2022 16 25 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1884183490,String,1878619344,String,312192,Int32,23858,Int32,127209,Int32,5,Int64
10.2.0.23,01 27 2022 16 30 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1840120293,String,1835431658,String,177898,Int32,54370,Int32,121428,Int32,5,Int64
10.2.0.23,01 27 2022 16 35 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,2132055163,String,2127505296,String,57241,Int32,6604,Int32,38480,Int32,5,Int64
10.2.0.23,01 27 2022 16 40 00,iperf3,String,,,,,,,,,,,,,,,10.1.0.27,String,1837891885,String,1833145887,String,188739,Int32,43132,Int32,106951,Int32,5,Int64
