PartitionKey,RowKey,test_type,test_type@type,protocol,protocol@type,latency_total,latency_total@type,latency_mean,latency_mean@type,latency_max,latency_max@type,latency_min,latency_min@type,throughput,throughput@type,success,success@type,server,server@type,sent_throughput,sent_throughput@type,received_throughput,received_throughput@type,max_rtt,max_rtt@type,min_rtt,min_rtt@type,mean_rtt,mean_rtt@type,duration,duration@type
10.2.0.119,01 28 2022 10 50 00,vegeta,String,http,String,357618427.7,Double,29801.53564,Double,30021.83919,Double,176.234517,Double,0.155659293,String,0.0035,String,10.1.0.129,String,,,,,,,,,,,,
10.2.0.119,01 28 2022 10 55 00,vegeta,String,http,String,357576240.3,Double,29798.02003,Double,30017.48129,Double,154.284381,Double,0.126028556,String,0.002833333,String,10.1.0.129,String,,,,,,,,,,,,
10.2.0.119,01 28 2022 11 00 00,vegeta,String,http,String,357638667.6,Double,29803.2223,Double,30015.66816,Double,140.480705,Double,0.114850156,String,0.002583333,String,10.1.0.129,String,,,,,,,,,,,,
10.2.0.12,01 28 2022 10 40 00,vegeta,String,http,String,358084683.7,Double,29840.39031,Double,30011.03466,Double,250.180829,Double,0.111149696,String,0.0025,String,10.1.0.87,String,,,,,,,,,,,,
10.2.0.12,01 28 2022 10 45 00,vegeta,String,http,String,358316207.9,Double,29859.68399,Double,30009.82394,Double,271.921344,Double,0.125952658,String,0.002833333,String,10.1.0.87,String,,,,,,,,,,,,
10.2.0.12,01 28 2022 10 50 00,vegeta,String,http,String,358352111.6,Double,29862.67597,Double,30009.59228,Double,245.661821,Double,0.096331862,String,0.002166667,String,10.1.0.87,String,,,,,,,,,,,,
10.2.0.12,01 28 2022 10 55 00,vegeta,String,http,String,358573340.3,Double,29881.1117,Double,30019.53477,Double,262.800663,Double,0.114862671,String,0.002583333,String,10.1.0.87,String,,,,,,,,,,,,
10.2.0.12,01 28 2022 11 00 00,vegeta,String,http,String,358302887,Double,29858.57391,Double,30014.93678,Double,262.462671,Double,0.166704046,String,0.00375,String,10.1.0.87,String,,,,,,,,,,,,
10.2.0.120,01 28 2022 10 40 00,vegeta,String,http,String,357868504.5,Double,29822.37537,Double,30020.02558,Double,237.490509,Double,0.111152251,String,0.0025,String,10.1.0.121,String,,,,,,,,,,,,
10.2.0.120,01 28 2022 10 45 00,vegeta,String,http,String,358158030,Double,29846.5025,Double,30014.10163,Double,238.577979,Double,0.111145285,String,0.0025,String,10.1.0.121,String,,,,,,,,,,,,
10.2.0.120,01 28 2022 10 50 00,vegeta,String,http,String,357772421,Double,29814.36842,Double,30019.8935,Double,86.121036,Double,0.137089016,String,0.003083333,String,10.1.0.121,String,,,,,,,,,,,,
10.2.0.120,01 28 2022 10 55 00,vegeta,String,http,String,357218230.6,Double,29768.18588,Double,30017.47666,Double,174.764219,Double,0.122240207,String,0.00275,String,10.1.0.121,String,,,,,,,,,,,,
10.2.0.120,01 28 2022 11 00 00,vegeta,String,http,String,357363749.7,Double,29780.31248,Double,30007.76908,Double,253.805838,Double,0.11484878,String,0.002583333,String,10.1.0.121,String,,,,,,,,,,,,
